payment_id,loan_id,fecha_pago,monto_pagado,estado_pago,canal_pago
P5752087,L000429,2023-06-25,2862.84,Pagado,Débito automático
P8609207,L000601,2023-06-25,1914.35,Vencido,Débito automático
P3363534,L000608,2023-06-25,1477.11,Pagado,Agencia
P6347476,L000757,2023-06-26,3943.49,Pagado,App
P8517846,L001338,2023-06-26,544.54,Parcial,App
P1088100,L000519,2023-06-27,315.71,Pagado,App
P6344047,L000637,2023-06-27,478.64,Pagado,App
P7322070,L000657,2023-06-27,689.49,Pagado,Débito automático
P1554840,L001220,2023-06-27,3310.49,Pagado,App
P9396529,L000276,2023-06-28,1092.31,Pagado,App
P4186247,L001254,2023-06-29,3814.1,Pagado,App
P3073581,L001293,2023-06-29,160.96,Parcial,Agencia
P6262632,L000131,2023-06-30,1766.53,Parcial,App
P5609384,L000804,2023-06-30,724.38,Pagado,App
P7953189,L001190,2023-06-30,838.6,Parcial,Agencia
P2731828,L001489,2023-06-30,361.63,Pagado,App
P7070880,L000450,2023-07-01,3656.8,Pagado,App
P2950183,L000722,2023-07-01,1499.18,Pagado,Débito automático
P6437011,L001489,2023-07-01,348.77,Pagado,App
