tx_id,cliente_id,monto,canal,fecha_hora,comercio,tipo_tx
TX0000081,C00082,244.29,ATM,2026-01-28 12:11:00,Ecommerce,Compra
TX0000082,C00250,644.18,POS,2026-03-01 02:37:00,Supermercado,Transferencia
TX0000083,C00249,297.9,POS,2026-03-12 20:34:00,Retail,Compra
TX0000084,C00216,533.03,POS,2026-02-18 12:24:00,Supermercado,Compra
TX0000085,C00415,703.15,App,2026-04-14 09:27:00,Viajes,Transferencia
TX0000086,C00015,697.4,POS,2026-04-22 14:39:00,Servicios,Compra
TX0000087,C00346,863.38,POS,2026-04-04 02:14:00,Gasolinera,Compra
TX0000088,C00207,725.28,App,2026-02-19 10:31:00,Ecommerce,Transferencia
TX0000089,C00329,431.9,ATM,2026-02-15 10:08:00,Farmacia,Pago
TX0000090,C00144,764.25,POS,2026-04-07 06:35:00,Restaurante,Retiro
TX0000091,C00160,299.57,App,2026-02-24 07:26:00,Restaurante,Retiro
TX0000092,C00429,387.19,POS,2026-03-16 02:59:00,Ecommerce,Compra
TX0000093,C00428,509.69,App,2026-03-29 13:56:00,Ecommerce,Pago
TX0000094,C00189,286.82,App,2026-02-19 23:08:00,Viajes,Transferencia
TX0000095,C00421,129.77,ATM,2026-04-03 17:38:00,Retail,Retiro
TX0000096,C00072,1357.57,POS,2026-03-26 20:28:00,Retail,Transferencia
TX0000097,C00094,75.99,POS,2026-03-11 02:30:00,Restaurante,Compra
TX0000098,C00295,418.8,App,2026-01-30 13:21:00,Gasolinera,Compra
TX0000099,C00302,878.91,App,2026-01-25 13:56:00,Supermercado,Compra
TX0000100,C00160,267.9,POS,2026-04-15 18:15:00,Farmacia,Pago
TX0000101,C00266,176.86,POS,2026-03-12 06:45:00,Farmacia,Transferencia
TX0000102,C00305,750.64,ATM,2026-03-23 07:14:00,Supermercado,Pago
TX0000103,C00444,245.93,App,2026-02-24 03:28:00,Viajes,Transferencia
TX0000104,C00083,293.24,POS,2026-03-11 20:03:00,Servicios,Compra
TX0000105,C00261,1315.2,POS,2026-02-10 01:47:00,Viajes,Transferencia
TX0000106,C00069,690.15,Web,2026-02-07 18:26:00,Gasolinera,Compra
TX0000107,C00188,105.62,POS,2026-02-14 23:01:00,Gasolinera,Transferencia
TX0000108,C00140,952.78,ATM,2026-03-11 05:00:00,Gasolinera,Compra
TX0000109,C00410,84.2,App,2026-02-10 12:37:00,Gasolinera,Retiro
TX0000110,C00059,295.88,POS,2026-02-27 18:39:00,Retail,Pago
TX0000111,C00067,418.62,Web,2026-02-21 04:12:00,Ecommerce,Compra
TX0000112,C00382,569.99,ATM,2026-04-11 18:36:00,Gasolinera,Pago
TX0000113,C00216,148.42,POS,2026-02-22 00:08:00,Supermercado,Compra
TX0000114,C00205,153.18,Web,2026-01-31 20:00:00,Farmacia,Transferencia
TX0000115,C00137,1935.23,POS,2026-03-04 08:09:00,Supermercado,Compra
TX0000116,C00105,1096.83,Web,2026-04-11 10:12:00,Restaurante,Compra
TX0000117,C00074,174.69,POS,2026-01-23 16:28:00,Ecommerce,Transferencia
TX0000118,C00264,423.4,POS,2026-02-06 06:57:00,Ecommerce,Compra
TX0000119,C00433,339.19,POS,2026-03-26 14:46:00,Ecommerce,Compra
TX0000120,C00210,700.19,POS,2026-02-13 23:01:00,Retail,Transferencia
TX0000121,C00426,869.51,App,2026-03-25 06:52:00,Viajes,Compra
TX0000122,C00041,228.5,Web,2026-02-28 22:19:00,Ecommerce,Compra
TX0000123,C00210,314.18,App,2026-03-13 14:08:00,Farmacia,Compra
TX0000124,C00068,239.18,Web,2026-02-12 19:39:00,Gasolinera,Compra
TX0000125,C00347,404.49,ATM,2026-04-18 00:12:00,Viajes,Retiro
TX0000126,C00177,334.61,ATM,2026-03-16 14:26:00,Ecommerce,Pago
TX0000127,C00383,1269.24,Web,2026-04-09 04:14:00,Ecommerce,Transferencia
TX0000128,C00225,527.32,App,2026-01-27 01:11:00,Ecommerce,Compra
TX0000129,C00442,944.03,ATM,2026-04-11 17:05:00,Supermercado,Retiro
TX0000130,C00071,1433.97,POS,2026-03-09 07:27:00,Servicios,Compra
TX0000131,C00006,1762.15,App,2026-04-18 07:33:00,Farmacia,Pago
TX0000132,C00345,1212.41,POS,2026-03-27 09:15:00,Viajes,Pago
TX0000133,C00448,3179.76,App,2026-01-26 22:17:00,Restaurante,Compra
TX0000134,C00426,824.47,Web,2026-02-17 06:03:00,Servicios,Retiro
TX0000135,C00046,368.76,POS,2026-04-10 12:35:00,Supermercado,Retiro
TX0000136,C00205,366.98,ATM,2026-03-02 01:02:00,Viajes,Compra
TX0000137,C00420,532.95,App,2026-01-23 09:52:00,Ecommerce,Transferencia
TX0000138,C00361,511.17,App,2026-03-28 14:55:00,Servicios,Retiro
TX0000139,C00296,1217.9,ATM,2026-02-04 21:03:00,Retail,Transferencia
TX0000140,C00271,207.47,Web,2026-03-01 16:00:00,Retail,Retiro
TX0000141,C00097,1020.47,Web,2026-02-18 22:12:00,Servicios,Compra
TX0000142,C00298,1694.38,ATM,2026-02-08 14:11:00,Restaurante,Compra
TX0000143,C00397,289.55,ATM,2026-02-07 06:57:00,Retail,Transferencia
TX0000144,C00416,46.26,ATM,2026-03-03 11:25:00,Gasolinera,Compra
TX0000145,C00228,2285.72,POS,2026-04-12 04:48:00,Gasolinera,Compra
TX0000146,C00031,1046.2,POS,2026-03-27 16:49:00,Farmacia,Pago
TX0000147,C00243,294.72,POS,2026-03-16 22:07:00,Restaurante,Pago
TX0000148,C00260,140.92,Web,2026-02-04 15:24:00,Gasolinera,Transferencia
TX0000149,C00270,693.36,App,2026-04-01 14:44:00,Servicios,Retiro
TX0000150,C00372,325.75,POS,2026-04-20 17:39:00,Retail,Transferencia
TX0000151,C00430,2056.29,POS,2026-02-17 13:41:00,Retail,Retiro
TX0000152,C00162,173.27,App,2026-02-19 01:56:00,Viajes,Pago
TX0000153,C00433,812.37,App,2026-03-20 11:54:00,Supermercado,Compra
TX0000154,C00194,112.61,POS,2026-03-15 16:46:00,Servicios,Compra
TX0000155,C00113,102.04,App,2026-03-02 19:03:00,Supermercado,Compra
TX0000156,C00054,3816.56,App,2026-03-11 04:42:00,Servicios,Compra
TX0000157,C00336,917.93,App,2026-02-24 00:27:00,Retail,Compra
TX0000158,C00046,542.46,ATM,2026-03-01 09:11:00,Retail,Compra
TX0000159,C00267,298.41,ATM,2026-03-15 09:44:00,Supermercado,Compra
TX0000160,C00119,2388.64,Web,2026-04-03 23:18:00,Gasolinera,Pago
TX0000161,C00269,843.99,App,2026-02-22 09:11:00,Supermercado,Pago
TX0000162,C00240,696.09,App,2026-03-16 21:14:00,Viajes,Retiro
TX0000163,C00348,134.51,POS,2026-03-26 19:03:00,Farmacia,Compra
TX0000164,C00118,313.79,POS,2026-03-01 23:34:00,Retail,Transferencia
TX0000165,C00027,1942.53,POS,2026-03-14 11:34:00,Farmacia,Compra
TX0000166,C00133,82.17,Web,2026-04-12 15:45:00,Restaurante,Pago
TX0000167,C00024,694.05,POS,2026-02-04 21:25:00,Viajes,Compra
TX0000168,C00071,1317.14,POS,2026-03-23 03:20:00,Viajes,Compra
TX0000169,C00128,616.08,Web,2026-01-24 01:04:00,Restaurante,Compra
TX0000170,C00176,221.24,Web,2026-02-11 01:06:00,Restaurante,Compra
TX0000171,C00003,561.36,POS,2026-03-09 13:44:00,Ecommerce,Pago
TX0000172,C00212,482.98,POS,2026-02-20 11:22:00,Retail,Retiro
TX0000173,C00135,215.33,POS,2026-03-25 06:47:00,Gasolinera,Compra
TX0000174,C00057,81.78,App,2026-02-28 15:29:00,Ecommerce,Compra
TX0000175,C00092,392.81,POS,2026-02-09 07:35:00,Servicios,Retiro
TX0000176,C00094,840.47,POS,2026-02-14 04:38:00,Restaurante,Compra
TX0000177,C00019,478.67,App,2026-03-25 12:41:00,Supermercado,Compra
TX0000178,C00219,228.65,App,2026-03-21 01:29:00,Farmacia,Pago
TX0000179,C00292,395.77,App,2026-04-17 21:39:00,Ecommerce,Compra
TX0000180,C00349,458.01,Web,2026-03-27 06:43:00,Supermercado,Compra
TX0000181,C00231,2384.44,ATM,2026-03-12 13:29:00,Viajes,Pago
TX0000182,C00180,290.79,POS,2026-02-26 04:02:00,Farmacia,Transferencia
TX0000183,C00194,273.56,POS,2026-02-07 07:13:00,Farmacia,Transferencia
TX0000184,C00032,606.1,Web,2026-02-26 03:15:00,Restaurante,Transferencia
TX0000185,C00406,394.9,POS,2026-03-23 16:36:00,Ecommerce,Retiro
TX0000186,C00033,308.8,App,2026-04-14 21:30:00,Farmacia,Compra
TX0000187,C00293,500.79,Web,2026-04-05 22:17:00,Servicios,Pago
TX0000188,C00360,335.42,POS,2026-03-04 13:37:00,Restaurante,Transferencia
TX0000189,C00290,341.92,App,2026-03-22 14:42:00,Farmacia,Pago
TX0000190,C00195,870.8,POS,2026-01-29 05:54:00,Retail,Transferencia
TX0000191,C00368,661.82,App,2026-02-20 01:01:00,Gasolinera,Pago
TX0000192,C00144,452.79,App,2026-01-28 08:02:00,Farmacia,Compra
TX0000193,C00193,3673.07,Web,2026-03-19 18:09:00,Supermercado,Pago
TX0000194,C00426,836.08,App,2026-01-26 17:06:00,Retail,Retiro
TX0000195,C00044,379.83,POS,2026-04-08 11:14:00,Farmacia,Transferencia
TX0000196,C00224,569.81,ATM,2026-03-22 09:10:00,Supermercado,Compra
TX0000197,C00041,455.37,App,2026-02-15 05:13:00,Farmacia,Compra
TX0000198,C00427,824.94,App,2026-02-24 15:29:00,Viajes,Pago
TX0000199,C00091,2832.77,ATM,2026-03-27 23:52:00,Servicios,Transferencia
TX0000200,C00134,657.58,App,2026-01-31 00:51:00,Gasolinera,Pago
TX0000201,C00135,1347.96,App,2026-03-08 01:49:00,Retail,Compra
TX0000202,C00227,383.08,ATM,2026-03-21 11:43:00,Farmacia,Compra
TX0000203,C00433,1223.02,App,2026-03-08 04:58:00,Viajes,Pago
TX0000204,C00114,717.18,ATM,2026-04-08 06:04:00,Supermercado,Transferencia
TX0000205,C00009,445.78,App,2026-04-21 21:23:00,Supermercado,Transferencia
TX0000206,C00133,136.61,App,2026-03-21 00:41:00,Viajes,Pago
TX0000207,C00420,731.55,App,2026-01-31 04:15:00,Supermercado,Pago
TX0000208,C00269,198.82,POS,2026-02-21 01:46:00,Restaurante,Compra
TX0000209,C00375,444.24,App,2026-04-21 03:57:00,Ecommerce,Compra
TX0000210,C00249,115.17,Web,2026-03-18 20:32:00,Farmacia,Compra
TX0000211,C00253,1848.32,POS,2026-01-30 11:52:00,Restaurante,Compra
TX0000212,C00309,616.87,App,2026-01-25 11:45:00,Gasolinera,Transferencia
TX0000213,C00356,1476.04,ATM,2026-02-26 12:39:00,Servicios,Transferencia
TX0000214,C00241,2463.93,POS,2026-02-04 05:22:00,Supermercado,Retiro
TX0000215,C00025,280.47,Web,2026-03-15 15:29:00,Farmacia,Compra
TX0000216,C00256,293.8,App,2026-02-02 05:08:00,Retail,Transferencia
TX0000217,C00378,1404.1,App,2026-03-22 07:11:00,Supermercado,Transferencia
TX0000218,C00229,1378.53,POS,2026-04-13 08:38:00,Servicios,Compra
TX0000219,C00189,266.46,Web,2026-03-17 13:25:00,Retail,Compra
TX0000220,C00145,348.02,POS,2026-04-17 23:08:00,Servicios,Transferencia
TX0000221,C00126,477.91,Web,2026-04-11 09:53:00,Supermercado,Pago
TX0000222,C00187,727.86,Web,2026-03-31 07:02:00,Farmacia,Pago
TX0000223,C00273,47.75,Web,2026-03-05 18:26:00,Servicios,Retiro
TX0000224,C00261,544.56,POS,2026-04-21 06:59:00,Farmacia,Transferencia
TX0000225,C00423,1657.69,App,2026-02-22 07:53:00,Viajes,Compra
TX0000226,C00252,363.9,POS,2026-02-14 19:05:00,Servicios,Compra
TX0000227,C00313,312.78,App,2026-03-31 04:44:00,Restaurante,Retiro
TX0000228,C00102,511.69,POS,2026-03-01 04:13:00,Ecommerce,Compra
TX0000229,C00417,98.43,ATM,2026-03-13 08:52:00,Supermercado,Compra
TX0000230,C00430,926.46,POS,2026-03-07 15:31:00,Restaurante,Compra
TX0000231,C00107,185.12,POS,2026-02-16 17:11:00,Retail,Transferencia
TX0000232,C00447,69.48,App,2026-04-01 11:24:00,Gasolinera,Retiro
TX0000233,C00410,325.16,POS,2026-02-06 17:52:00,Farmacia,Compra
TX0000234,C00063,449.26,App,2026-02-22 03:26:00,Viajes,Transferencia
TX0000235,C00358,277.45,POS,2026-03-29 02:14:00,Supermercado,Transferencia
TX0000236,C00200,74.88,App,2026-04-04 00:53:00,Farmacia,Compra
TX0000237,C00170,1161.28,POS,2026-04-08 19:00:00,Servicios,Transferencia
TX0000238,C00406,1293.91,POS,2026-03-11 16:43:00,Viajes,Compra
TX0000239,C00386,1652.51,POS,2026-01-23 15:16:00,Viajes,Retiro
TX0000240,C00429,46.05,POS,2026-03-12 12:02:00,Viajes,Compra
TX0000241,C00282,311.35,POS,2026-03-21 11:04:00,Gasolinera,Transferencia
TX0000242,C00079,315.72,App,2026-02-19 12:39:00,Supermercado,Transferencia
TX0000243,C00168,483.96,POS,2026-04-06 07:14:00,Gasolinera,Pago
TX0000244,C00182,1796.41,App,2026-02-11 11:18:00,Retail,Transferencia
TX0000245,C00183,474.03,App,2026-03-05 22:59:00,Gasolinera,Compra
TX0000246,C00129,56.22,App,2026-01-28 20:45:00,Supermercado,Pago
TX0000247,C00311,39.76,Web,2026-04-20 04:47:00,Restaurante,Compra
TX0000248,C00344,2040.22,Web,2026-04-09 03:38:00,Restaurante,Compra
TX0000249,C00119,461.5,Web,2026-04-01 16:01:00,Ecommerce,Compra
TX0000250,C00158,139.17,App,2026-04-03 23:33:00,Farmacia,Transferencia
TX0000251,C00440,201.72,ATM,2026-03-30 06:31:00,Ecommerce,Pago
TX0000252,C00364,164.04,App,2026-01-28 22:28:00,Viajes,Pago
TX0000253,C00248,431.24,Web,2026-04-06 04:01:00,Farmacia,Retiro
TX0000254,C00278,1025.46,POS,2026-04-06 22:30:00,Restaurante,Compra
TX0000255,C00253,1467.75,POS,2026-04-20 04:27:00,Gasolinera,Transferencia
TX0000256,C00361,437.61,App,2026-04-17 16:37:00,Farmacia,Transferencia
TX0000257,C00167,541.4,App,2026-02-26 16:32:00,Supermercado,Compra
TX0000258,C00220,2892.74,POS,2026-01-25 20:46:00,Restaurante,Compra
TX0000259,C00168,207.55,Web,2026-03-10 01:50:00,Viajes,Compra
TX0000260,C00109,220.74,POS,2026-04-19 07:59:00,Viajes,Pago
TX0000261,C00205,16.0,POS,2026-02-15 03:31:00,Viajes,Compra
TX0000262,C00239,523.39,Web,2026-04-20 15:38:00,Servicios,Retiro
TX0000263,C00165,202.89,ATM,2026-02-04 15:44:00,Supermercado,Compra
TX0000264,C00349,557.28,ATM,2026-02-03 18:43:00,Ecommerce,Transferencia
TX0000265,C00213,556.15,App,2026-03-18 18:36:00,Supermercado,Transferencia
TX0000266,C00375,1149.26,POS,2026-03-10 08:12:00,Gasolinera,Compra
TX0000267,C00359,2018.69,POS,2026-03-18 20:39:00,Gasolinera,Compra
TX0000268,C00205,45.53,Web,2026-02-17 08:32:00,Farmacia,Pago
TX0000269,C00129,732.49,ATM,2026-03-24 16:53:00,Ecommerce,Compra
TX0000270,C00102,267.98,ATM,2026-04-06 07:18:00,Servicios,Compra
TX0000271,C00450,143.0,POS,2026-04-12 17:15:00,Servicios,Retiro
TX0000272,C00080,560.36,Web,2026-03-02 17:59:00,Farmacia,Transferencia
TX0000273,C00423,2627.82,POS,2026-04-02 16:39:00,Farmacia,Retiro
TX0000274,C00095,1175.9,POS,2026-01-30 01:16:00,Restaurante,Compra
TX0000275,C00009,651.68,Web,2026-02-01 06:27:00,Servicios,Transferencia
TX0000276,C00371,229.71,POS,2026-03-10 15:42:00,Ecommerce,Compra
TX0000277,C00234,10.98,App,2026-03-03 20:13:00,Ecommerce,Retiro
TX0000278,C00390,163.47,App,2026-03-15 05:23:00,Supermercado,Pago
TX0000279,C00197,9.04,App,2026-03-01 13:30:00,Viajes,Compra
TX0000280,C00232,41.6,ATM,2026-02-17 14:40:00,Viajes,Transferencia
TX0000281,C00262,2559.47,POS,2026-03-22 18:20:00,Servicios,Compra
TX0000282,C00182,718.42,POS,2026-02-02 17:23:00,Viajes,Transferencia
TX0000283,C00293,998.95,ATM,2026-03-04 02:21:00,Restaurante,Compra
TX0000284,C00273,438.64,POS,2026-04-22 09:21:00,Ecommerce,Compra
TX0000285,C00202,690.02,Web,2026-03-20 21:22:00,Farmacia,Compra
TX0000286,C00264,574.96,ATM,2026-03-02 03:34:00,Gasolinera,Retiro
TX0000287,C00056,104.18,Web,2026-04-19 15:00:00,Servicios,Compra
TX0000288,C00253,1813.46,App,2026-03-26 05:16:00,Supermercado,Retiro
TX0000289,C00209,2708.2,Web,2026-03-21 22:16:00,Gasolinera,Pago
TX0000290,C00405,11.25,Web,2026-03-09 23:09:00,Retail,Retiro
TX0000291,C00340,560.51,POS,2026-04-15 11:34:00,Ecommerce,Compra
TX0000292,C00312,225.18,Web,2026-04-10 05:06:00,Gasolinera,Retiro
TX0000293,C00229,1271.14,App,2026-04-18 03:16:00,Farmacia,Pago
TX0000294,C00060,634.1,POS,2026-03-02 05:50:00,Retail,Compra
TX0000295,C00282,275.83,Web,2026-03-31 22:02:00,Gasolinera,Retiro
TX0000296,C00008,954.24,POS,2026-02-28 07:23:00,Gasolinera,Compra
TX0000297,C00309,319.6,Web,2026-02-04 07:22:00,Supermercado,Compra
TX0000298,C00084,442.59,POS,2026-03-30 01:49:00,Supermercado,Retiro
TX0000299,C00029,392.38,App,2026-03-29 05:40:00,Viajes,Transferencia
TX0000300,C00271,641.6,POS,2026-04-05 06:29:00,Supermercado,Compra
TX0000301,C00416,1209.46,POS,2026-03-27 18:07:00,Supermercado,Transferencia
TX0000302,C00390,217.12,Web,2026-02-07 10:52:00,Farmacia,Transferencia
TX0000303,C00266,287.41,POS,2026-01-28 12:12:00,Retail,Transferencia
TX0000304,C00330,2243.78,App,2026-03-27 17:28:00,Gasolinera,Compra
TX0000305,C00107,248.07,POS,2026-03-03 11:22:00,Retail,Compra
TX0000306,C00101,447.53,POS,2026-03-24 18:53:00,Viajes,Retiro
TX0000307,C00136,916.5,App,2026-03-27 13:02:00,Restaurante,Pago
TX0000308,C00398,616.2,Web,2026-02-13 10:48:00,Viajes,Transferencia
TX0000309,C00253,280.78,ATM,2026-03-25 11:05:00,Retail,Transferencia
TX0000310,C00027,1245.95,App,2026-02-12 00:23:00,Restaurante,Retiro
TX0000311,C00132,1497.33,POS,2026-01-29 17:31:00,Retail,Compra
TX0000312,C00379,2698.07,ATM,2026-02-22 00:48:00,Farmacia,Transferencia
TX0000313,C00315,1116.79,App,2026-02-16 06:36:00,Retail,Compra
TX0000314,C00119,2103.85,App,2026-03-25 12:04:00,Viajes,Pago
TX0000315,C00191,497.35,ATM,2026-03-19 00:16:00,Supermercado,Compra
TX0000316,C00218,233.2,ATM,2026-02-02 19:52:00,Retail,Transferencia
TX0000317,C00299,2166.84,Web,2026-03-21 04:03:00,Restaurante,Transferencia
TX0000318,C00373,359.5,POS,2026-04-12 23:33:00,Retail,Retiro
TX0000319,C00429,540.7,POS,2026-03-28 18:27:00,Ecommerce,Compra
TX0000320,C00321,789.65,POS,2026-04-17 04:05:00,Viajes,Retiro
TX0000321,C00128,388.11,POS,2026-02-26 13:15:00,Restaurante,Transferencia
TX0000322,C00202,1030.62,Web,2026-03-08 02:50:00,Gasolinera,Compra
TX0000323,C00235,182.5,POS,2026-04-15 02:02:00,Restaurante,Pago
TX0000324,C00162,281.42,POS,2026-02-14 09:21:00,Viajes,Compra
TX0000325,C00151,1208.06,Web,2026-03-20 17:48:00,Ecommerce,Retiro
TX0000326,C00054,814.5,POS,2026-02-06 13:56:00,Gasolinera,Pago
TX0000327,C00295,557.06,ATM,2026-02-19 19:46:00,Supermercado,Retiro
TX0000328,C00368,1457.1,App,2026-03-19 03:41:00,Farmacia,Compra
TX0000329,C00382,164.49,POS,2026-04-18 12:12:00,Supermercado,Compra
TX0000330,C00058,283.52,POS,2026-04-05 06:50:00,Ecommerce,Compra
TX0000331,C00007,581.02,ATM,2026-02-28 16:47:00,Ecommerce,Transferencia
TX0000332,C00313,601.05,POS,2026-04-10 12:14:00,Gasolinera,Retiro
TX0000333,C00012,92.4,POS,2026-01-23 22:09:00,Retail,Compra
TX0000334,C00429,94.02,POS,2026-02-08 00:39:00,Gasolinera,Transferencia
TX0000335,C00389,379.23,ATM,2026-04-01 15:03:00,Servicios,Compra
TX0000336,C00432,224.45,ATM,2026-04-21 12:27:00,Farmacia,Transferencia
TX0000337,C00012,553.73,POS,2026-02-26 17:04:00,Retail,Transferencia
TX0000338,C00448,892.14,POS,2026-03-09 20:42:00,Farmacia,Pago
TX0000339,C00328,259.98,Web,2026-02-13 05:53:00,Farmacia,Retiro
TX0000340,C00016,443.25,App,2026-04-01 06:32:00,Servicios,Compra
TX0000341,C00222,194.74,POS,2026-04-13 19:50:00,Gasolinera,Compra
TX0000342,C00051,850.0,POS,2026-02-26 17:45:00,Retail,Retiro
TX0000343,C00159,847.17,POS,2026-04-02 14:32:00,Ecommerce,Pago
