loan_id,customer_id,producto,fecha_desembolso,monto_desembolsado,saldo_actual,plazo_meses,tasa_anual,estado_credito,dias_mora,bucket_mora,provision,cuota_mensual,ingresos_estimados,ratio_cuota_ingreso
L000044,C01092,Tarjeta,2024-03-29,62741.44,49780.21,48,0.3381,Vigente,0,0,497.8,1749.05,8092.55,0.2161
L000045,C00814,Tarjeta,2023-02-28,138369.91,72714.13,36,0.2823,Vigente,0,0,727.14,4928.66,31985.97,0.1541
L000046,C00994,Vehicular,2024-11-28,24472.29,19397.98,36,0.2544,Vigente,0,0,193.98,852.72,13459.17,0.0634
L000047,C00323,Tarjeta,2026-03-02,10127.4,6076.57,48,0.2125,Vigente,17,1-30,182.3,255.82,2864.74,0.0893
L000048,C00922,Consumo,2024-02-17,47041.02,18461.3,36,0.2123,Vigente,0,0,184.61,1584.11,11106.39,0.1426
L000049,C00904,Consumo,2022-09-16,17213.9,7836.62,48,0.2493,Vigente,0,0,78.37,448.03,21596.11,0.0207
L000050,C00606,Tarjeta,2023-01-27,46568.3,44997.42,12,0.2147,Vigente,0,0,449.97,4713.88,20376.63,0.2313
L000051,C00429,Consumo,2026-02-07,14775.19,12567.81,72,0.3156,Vigente,0,0,125.68,269.98,14568.87,0.0185
L000052,C00148,Tarjeta,2024-05-23,5316.89,3425.82,120,0.24,Vigente,0,0,34.26,54.94,16305.66,0.0034
L000053,C01142,Tarjeta,2025-02-27,61683.37,56689.74,12,0.1076,Vigente,0,0,566.9,5693.38,16604.12,0.3429
L000054,C00850,Tarjeta,2024-06-22,64481.32,49653.88,24,0.2966,Vigente,0,0,496.54,3483.6,21810.98,0.1597
L000055,C00367,Hipotecario,2022-10-10,154474.9,62196.74,24,0.1946,Vigente,0,0,621.97,7688.99,45187.72,0.1702
L000056,C00850,Consumo,2023-11-24,57926.05,23397.2,24,0.1618,Vigente,0,0,233.97,2804.1,5628.28,0.4982
L000057,C01090,Consumo,2023-01-19,21248.94,19455.13,72,0.2815,Vigente,0,0,194.55,378.2,4573.53,0.0827
L000058,C00813,Consumo,2024-12-19,38758.51,14947.45,12,0.2698,Vigente,0,0,149.47,4101.3,16642.19,0.2464
L000059,C00175,Consumo,2024-08-24,32666.45,29583.61,12,0.2406,Vigente,0,0,295.84,3377.17,16100.41,0.2098
L000060,C00588,Tarjeta,2023-03-20,17527.51,10047.49,48,0.1315,Cancelado,0,0,100.47,413.17,7620.92,0.0542
L000061,C00495,Tarjeta,2024-05-17,4649.19,4586.07,12,0.0885,Vigente,80,61-90,1146.52,421.72,15760.34,0.0268
L000062,C00973,Consumo,2022-07-29,170934.74,164088.62,36,0.2626,Vigente,0,0,1640.89,5995.06,16471.33,0.364
L000063,C01138,Consumo,2022-06-09,30016.8,19662.79,60,0.2222,Vigente,0,0,196.63,611.44,16942.21,0.0361
L000064,C01135,Consumo,2022-06-05,115227.67,71360.65,24,0.1855,Vigente,0,0,713.61,5691.77,18701.94,0.3043
L000065,C01171,Consumo,2026-03-05,19086.62,10094.49,12,0.2636,Cancelado,0,0,100.94,2009.82,2321.95,0.8656
L000066,C00035,Hipotecario,2024-04-20,236336.63,109914.3,24,0.1008,Vigente,0,0,1099.14,10839.97,33265.44,0.3259
L000067,C00999,Hipotecario,2023-07-24,111172.42,99055.32,120,0.1337,Vigente,0,0,990.55,1050.3,35961.13,0.0292
L000068,C00538,Tarjeta,2025-12-11,14798.02,11203.85,36,0.2717,Vigente,0,0,112.04,522.74,20136.57,0.026
L000069,C00750,Tarjeta,2023-04-05,48201.93,23839.69,12,0.1735,Vigente,0,0,238.4,4713.75,6252.85,0.7539
L000070,C01038,Vehicular,2026-02-01,156894.16,104995.91,36,0.0959,Vigente,0,0,1049.96,4776.12,8595.15,0.5557
L000071,C00374,Capital de Trabajo,2025-10-05,176371.08,86063.22,48,0.2547,Vigente,0,0,860.63,4610.27,11571.02,0.3984
L000072,C00557,Consumo,2024-11-04,17927.77,16333.23,12,0.1542,Vigente,0,0,163.33,1724.35,13791.7,0.125
L000073,C00233,Tarjeta,2025-10-03,27113.63,13715.75,48,0.1294,Vigente,0,0,137.16,637.96,16899.76,0.0377
L000074,C00705,Tarjeta,2022-06-25,30224.42,22565.06,12,0.2456,Vigente,8,1-30,676.95,3137.29,20234.51,0.155
L000075,C00563,Hipotecario,2025-03-26,33365.59,17256.26,36,0.1683,Vigente,0,0,172.56,1082.81,5379.74,0.2013
L000076,C00939,Tarjeta,2025-02-13,40631.28,27880.84,36,0.1815,Vigente,0,0,278.81,1333.5,12576.3,0.106
L000077,C00887,Tarjeta,2025-06-15,69054.95,65769.84,60,0.2161,Vigente,0,0,657.7,1399.63,8028.71,0.1743
L000078,C00726,Consumo,2025-10-05,138716.73,73305.3,24,0.0894,Vigente,0,0,733.05,6296.58,11934.32,0.5276
L000079,C00076,Consumo,2022-11-07,24815.46,21238.9,36,0.2061,Vigente,0,0,212.39,831.39,15796.14,0.0526
L000080,C00439,Tarjeta,2023-07-23,127417.38,64154.53,36,0.116,Vigente,0,0,641.55,3949.94,20118.7,0.1963
L000081,C00699,Tarjeta,2026-01-10,6923.06,3120.58,36,0.2767,Vigente,0,0,31.21,245.52,10094.09,0.0243
L000082,C00915,Hipotecario,2025-09-08,58412.3,22415.64,48,0.3033,Refinanciado,0,0,224.16,1586.02,6635.27,0.239
L000083,C00891,Capital de Trabajo,2025-05-25,48958.6,24970.8,24,0.1151,Vigente,0,0,249.71,2274.74,16878.33,0.1348
L000084,C00692,Hipotecario,2024-10-27,49556.12,42408.98,24,0.2736,Vigente,0,0,424.09,2629.78,6776.23,0.3881
L000085,C00253,Capital de Trabajo,2024-04-09,28049.17,20800.62,72,0.2448,Vigente,0,0,208.01,484.94,6510.39,0.0745
L000086,C01150,Consumo,2023-01-27,59139.5,18011.06,48,0.0842,Vigente,0,0,180.11,1335.81,17760.65,0.0752
L000087,C01061,Capital de Trabajo,2023-08-09,123481.62,105779.78,60,0.2261,Vigente,0,0,1057.8,2523.35,7752.97,0.3255
L000088,C00410,Tarjeta,2023-06-22,48832.76,32171.64,24,0.1587,Vigente,0,0,321.72,2357.6,15161.62,0.1555
L000089,C00127,Vehicular,2025-04-16,22245.7,7052.0,24,0.2643,Refinanciado,0,0,70.52,1171.88,10643.19,0.1101
L000090,C01192,Consumo,2024-09-06,19990.97,6341.92,60,0.0996,Vigente,0,0,63.42,366.37,8614.65,0.0425
L000091,C00592,Consumo,2024-10-17,62558.03,23192.66,60,0.1995,Cancelado,0,0,231.93,1250.64,13175.92,0.0949
L000092,C00294,Hipotecario,2023-07-10,1743.22,1562.59,24,0.324,Vigente,0,0,15.63,96.17,11437.62,0.0084
L000093,C01020,Hipotecario,2025-11-13,44627.4,30815.7,12,0.3381,Vigente,0,0,308.16,4976.33,5319.06,0.9356
L000094,C00310,Hipotecario,2025-06-27,12649.32,8871.85,12,0.3179,Vigente,0,0,88.72,1389.21,3102.92,0.4477
L000095,C00662,Tarjeta,2025-01-18,167768.69,151414.38,36,0.2152,Vigente,0,0,1514.14,5663.13,36172.01,0.1566
L000096,C00528,Consumo,2023-11-15,28794.28,16400.99,24,0.2716,Vigente,0,0,164.01,1525.62,12956.89,0.1177
L000097,C00540,Tarjeta,2023-06-08,18925.14,10554.92,36,0.2824,Refinanciado,0,0,105.55,674.16,8525.72,0.0791
L000098,C00419,Capital de Trabajo,2023-12-10,23646.47,9802.46,48,0.1475,Vigente,44,31-60,980.25,565.3,11179.88,0.0506
L000099,C00444,Tarjeta,2024-07-17,52280.43,15111.88,60,0.1908,Vigente,0,0,151.12,1037.59,2059.0,0.5039
L000100,C00685,Tarjeta,2024-03-29,148372.45,94994.38,12,0.1412,Vigente,0,0,949.94,14110.22,49059.29,0.2876
L000101,C00840,Hipotecario,2022-10-23,15169.58,14390.75,60,0.1313,Vigente,0,0,143.91,286.02,3598.0,0.0795
L000102,C00236,Capital de Trabajo,2022-06-05,165741.27,161766.24,120,0.1207,Vigente,0,0,1617.66,1547.89,20277.94,0.0763
L000103,C00214,Consumo,2023-09-24,9193.37,5064.99,12,0.3165,Vigente,0,0,50.65,1008.59,19072.58,0.0529
L000104,C00085,Tarjeta,2025-09-24,26017.3,24253.07,48,0.2366,Vigente,0,0,242.53,670.27,14604.57,0.0459
L000105,C00794,Consumo,2022-12-04,59221.85,22784.92,120,0.1002,Vigente,0,0,227.85,542.97,13477.06,0.0403
L000106,C00085,Hipotecario,2023-06-28,33445.11,12892.34,12,0.2412,Vigente,0,0,128.92,3459.34,11609.74,0.298
L000107,C00065,Tarjeta,2025-12-19,3391.7,2076.2,12,0.0995,Refinanciado,170,>90,1038.1,310.76,15119.02,0.0206
L000108,C00663,Tarjeta,2023-09-08,31792.56,20571.15,72,0.2765,Vigente,0,0,205.71,563.66,11528.1,0.0489
L000109,C00627,Tarjeta,2022-08-18,56036.44,49794.93,48,0.2783,Vigente,0,0,497.95,1492.32,11557.94,0.1291
L000110,C00064,Consumo,2022-05-28,63593.71,59340.92,24,0.136,Vigente,0,0,593.41,3010.1,14230.03,0.2115
L000111,C00939,Consumo,2024-08-01,60835.09,44324.75,12,0.1347,Vigente,12,1-30,1329.74,5752.46,8275.38,0.6951
L000112,C00919,Capital de Trabajo,2025-03-14,79744.68,49717.73,12,0.3264,Vigente,0,0,497.18,8814.45,8062.69,1.0932
L000113,C01182,Vehicular,2023-09-03,56564.16,23841.97,48,0.0922,Vigente,0,0,238.42,1287.07,19626.4,0.0656
L000114,C00491,Consumo,2025-12-23,49298.17,32318.61,36,0.1962,Vigente,0,0,323.19,1638.07,15481.47,0.1058
L000115,C00313,Tarjeta,2025-04-11,62204.73,47802.86,36,0.1839,Refinanciado,0,0,478.03,2045.67,20037.15,0.1021
L000116,C00615,Consumo,2023-02-22,77507.23,44724.4,12,0.0997,Vigente,0,0,447.24,7102.89,16923.18,0.4197
L000117,C00919,Consumo,2024-08-28,139967.54,123437.5,12,0.1305,Cancelado,0,0,1234.38,13186.11,7924.81,1.6639
L000118,C00813,Tarjeta,2025-01-25,31389.83,29308.14,12,0.0881,Vigente,172,>90,14654.07,2846.27,8781.53,0.3241
L000119,C00940,Tarjeta,2025-09-04,3963.77,2577.11,24,0.2961,Vigente,0,0,25.77,214.06,1804.87,0.1186
L000120,C01112,Consumo,2023-01-11,14722.72,13239.17,24,0.2895,Vigente,0,0,132.39,791.04,6675.26,0.1185
L000121,C00680,Capital de Trabajo,2026-03-04,67370.83,47351.74,60,0.2232,Cancelado,0,0,473.52,1373.47,11765.5,0.1167
L000122,C00435,Consumo,2022-11-28,64004.45,37804.92,24,0.1196,Vigente,0,0,378.05,2985.81,19241.29,0.1552
L000123,C00682,Hipotecario,2024-03-20,64797.29,17073.51,12,0.3044,Vigente,0,0,170.74,7043.47,20641.98,0.3412
L000124,C01159,Capital de Trabajo,2024-11-02,125438.31,59835.25,60,0.2868,Vigente,0,0,598.35,2690.23,11248.52,0.2392
L000125,C01074,Consumo,2022-07-10,30935.52,8085.95,72,0.1983,Vigente,0,0,80.86,514.86,7531.66,0.0684
L000126,C00340,Tarjeta,2025-08-22,41746.11,26772.09,36,0.1678,Vigente,0,0,267.72,1354.2,2070.87,0.6539
L000127,C00347,Consumo,2025-12-21,63283.06,31749.55,24,0.2895,Vigente,0,0,317.5,3400.15,17255.15,0.1971
L000128,C00646,Capital de Trabajo,2024-04-20,89732.29,28206.96,48,0.0848,Vigente,0,0,282.07,2027.95,3636.9,0.5576
L000129,C00649,Vehicular,2023-03-09,125623.88,115236.26,12,0.1727,Vigente,0,0,1152.36,12276.59,1985.14,6.1842
L000130,C00245,Consumo,2023-09-27,62398.04,56851.75,48,0.148,Vigente,0,0,568.52,1492.35,10201.46,0.1463
L000131,C00109,Tarjeta,2023-03-14,59811.1,15437.17,36,0.1297,Vigente,0,0,154.37,1876.91,15960.43,0.1176
L000132,C00533,Hipotecario,2024-03-01,234135.37,115517.71,36,0.2839,Vigente,0,0,1155.18,8350.18,47914.65,0.1743
L000133,C01114,Consumo,2023-08-13,30765.16,22141.52,48,0.1222,Vigente,0,0,221.42,719.26,15314.88,0.047
L000134,C00296,Consumo,2023-06-11,61556.81,25502.64,12,0.2814,Vigente,0,0,255.03,6573.24,10749.41,0.6115
L000135,C00112,Tarjeta,2023-06-21,50393.32,30052.3,12,0.3302,Vigente,0,0,300.52,5586.1,8151.57,0.6853
L000136,C00343,Tarjeta,2025-06-28,47847.96,39100.17,36,0.2436,Vigente,0,0,391.0,1652.88,7373.75,0.2242
L000137,C00101,Hipotecario,2024-09-04,53433.52,44233.78,24,0.29,Vigente,0,0,442.34,2872.05,6052.68,0.4745
L000138,C00629,Tarjeta,2023-11-29,16335.17,11343.57,36,0.2828,Vigente,0,0,113.44,582.08,9474.47,0.0614
L000139,C00028,Tarjeta,2026-02-21,39922.02,17856.21,36,0.2065,Vigente,0,0,178.56,1337.94,6336.1,0.2112
L000140,C00937,Tarjeta,2023-01-27,18333.16,8616.8,60,0.2453,Vigente,0,0,86.17,380.5,11712.03,0.0325
L000141,C00058,Tarjeta,2023-06-11,49779.79,16455.24,36,0.3253,Refinanciado,87,61-90,4113.81,1832.59,3843.51,0.4768
L000142,C00297,Capital de Trabajo,2022-07-15,101011.0,90353.7,180,0.1941,Refinanciado,0,0,903.54,670.1,4022.36,0.1666
L000143,C00134,Hipotecario,2025-06-16,28383.23,10136.16,12,0.195,Refinanciado,0,0,101.36,2826.5,15856.81,0.1783
L000144,C00249,Hipotecario,2025-09-19,228567.35,65209.33,180,0.2827,Vigente,0,0,652.09,1628.8,37404.77,0.0435
L000145,C01021,Consumo,2026-03-11,33507.96,16435.56,60,0.3019,Vigente,0,0,164.36,727.07,12957.23,0.0561
L000146,C00550,Capital de Trabajo,2025-05-15,12679.19,3173.62,60,0.1956,Vigente,0,0,31.74,252.65,18079.0,0.014
L000147,C00902,Consumo,2022-05-16,13659.59,9987.68,24,0.2061,Vigente,0,0,99.88,686.45,2273.35,0.302
L000148,C01099,Capital de Trabajo,2026-03-21,158126.52,45885.54,24,0.1046,Vigente,0,0,458.86,7277.77,4638.08,1.5691
L000149,C00834,Tarjeta,2025-08-07,14696.81,11636.64,36,0.2217,Cancelado,0,0,116.37,498.75,3375.48,0.1478
L000150,C01192,Consumo,2024-08-31,32791.62,27912.71,12,0.3343,Vigente,0,0,279.13,3646.15,14534.44,0.2509
L000151,C00771,Consumo,2026-01-10,25219.81,6895.35,48,0.0987,Vigente,0,0,68.95,577.27,21330.68,0.0271
L000152,C00146,Tarjeta,2024-12-25,20758.35,9019.5,24,0.0973,Vigente,0,0,90.2,949.09,12548.15,0.0756
L000153,C00893,Capital de Trabajo,2025-05-27,128001.63,87056.32,12,0.1304,Vigente,0,0,870.56,12057.75,6147.93,1.9613
L000154,C00344,Hipotecario,2025-06-09,61328.78,45424.81,36,0.1716,Vigente,0,0,454.25,1995.91,12579.06,0.1587
L000155,C01059,Hipotecario,2022-07-30,26663.61,16080.52,48,0.2072,Vigente,0,0,160.81,670.59,16074.18,0.0417
L000156,C00702,Hipotecario,2024-12-06,22411.9,22158.57,12,0.209,Vigente,0,0,221.59,2258.0,20904.65,0.108
L000157,C00001,Consumo,2023-04-26,57085.57,30249.96,48,0.198,Refinanciado,0,0,302.5,1424.76,11763.6,0.1211
L000158,C00153,Tarjeta,2022-09-01,13506.43,4601.92,120,0.2553,Vigente,0,0,46.02,141.29,3389.69,0.0417
L000159,C00429,Tarjeta,2022-07-19,27076.88,18164.87,36,0.1032,Vigente,0,0,181.65,829.76,15686.22,0.0529
L000160,C00508,Capital de Trabajo,2025-08-25,21579.31,14458.04,180,0.1544,Vigente,0,0,144.58,138.4,16726.35,0.0083
L000161,C01150,Consumo,2025-07-07,27501.43,16549.81,12,0.2593,Vigente,0,0,165.5,2886.05,11989.38,0.2407
L000162,C00491,Tarjeta,2024-11-20,34086.3,15018.78,36,0.1665,Vigente,0,0,150.19,1104.49,18467.72,0.0598
L000163,C00345,Tarjeta,2022-08-30,36006.27,14078.88,24,0.1273,Vigente,0,0,140.79,1691.24,14993.36,0.1128
L000164,C00221,Capital de Trabajo,2025-06-10,102002.62,42034.72,36,0.2709,Refinanciado,0,0,420.35,3600.98,5504.79,0.6542
L000165,C00723,Tarjeta,2024-08-30,53415.4,43544.64,72,0.2153,Vigente,104,>90,21772.32,901.61,21103.92,0.0427
L000166,C01049,Consumo,2023-03-27,152414.98,90532.58,60,0.1237,Vigente,0,0,905.33,2854.48,15474.93,0.1845
L000167,C00528,Tarjeta,2024-09-14,7468.42,6985.67,24,0.3358,Vigente,0,0,69.86,415.68,9239.57,0.045
L000168,C00841,Consumo,2023-03-01,25854.44,7207.52,72,0.2492,Vigente,0,0,72.08,448.57,19390.1,0.0231
L000169,C01066,Capital de Trabajo,2025-06-16,74693.79,37886.55,36,0.2535,Refinanciado,0,0,378.87,2600.8,4592.56,0.5663
L000170,C00481,Tarjeta,2023-07-12,33016.5,28249.2,36,0.2565,Cancelado,0,0,282.49,1152.37,4008.99,0.2874
L000171,C00930,Consumo,2025-09-22,22889.83,17203.19,36,0.3039,Refinanciado,0,0,172.03,829.06,12766.14,0.0649
L000172,C00872,Vehicular,2024-03-01,9443.15,6657.58,12,0.2248,Vigente,0,0,66.58,963.83,20595.06,0.0468
L000173,C00345,Vehicular,2024-05-13,64713.21,27788.39,12,0.1093,Vigente,0,0,277.88,5982.2,17696.91,0.338
L000174,C00045,Consumo,2024-04-13,24955.8,17195.33,36,0.2257,Vigente,0,0,171.95,849.68,12861.85,0.0661
L000175,C00021,Tarjeta,2022-05-20,17975.02,13948.08,12,0.111,Vigente,0,0,139.48,1664.19,17738.62,0.0938
L000176,C01094,Consumo,2026-02-01,27195.51,10201.64,24,0.1299,Vigente,0,0,102.02,1280.34,2743.03,0.4668
L000177,C00873,Vehicular,2024-10-02,17539.21,11365.78,72,0.263,Vigente,0,0,113.66,307.67,6955.7,0.0442
L000178,C00048,Tarjeta,2023-08-11,35953.54,18415.0,24,0.2291,Vigente,0,0,184.15,1841.27,7711.96,0.2388
L000179,C00551,Consumo,2024-06-28,23218.44,8383.61,72,0.1514,Vigente,0,0,83.84,371.3,16875.54,0.022
L000180,C00287,Consumo,2024-11-30,12206.04,6661.52,36,0.2657,Vigente,0,0,66.62,429.14,1825.95,0.235
L000181,C01002,Consumo,2024-09-29,35444.21,13965.45,48,0.1885,Vigente,0,0,139.65,877.61,18767.96,0.0468
L000182,C01034,Tarjeta,2025-08-21,58317.39,27900.88,12,0.3375,Vigente,0,0,279.01,6499.96,5356.0,1.2136
L000183,C00542,Vehicular,2023-01-21,21346.52,18236.55,120,0.2986,Vigente,0,0,182.37,231.0,13970.73,0.0165
L000184,C00756,Capital de Trabajo,2024-12-07,160436.61,121497.37,72,0.2029,Vigente,162,>90,60748.68,2680.41,3663.83,0.7316
L000185,C00274,Consumo,2025-07-16,110713.42,75579.9,48,0.1769,Vigente,0,0,755.8,2714.55,13556.16,0.2002
L000186,C00956,Tarjeta,2023-01-19,57784.41,33441.22,72,0.3095,Vigente,25,1-30,1003.24,1050.95,7106.4,0.1479
L000187,C00600,Consumo,2025-07-05,45260.6,16320.51,36,0.132,Vigente,0,0,163.21,1423.19,3279.56,0.434
L000188,C00381,Vehicular,2025-02-26,49277.99,39158.37,60,0.2662,Vigente,0,0,391.58,1039.93,18804.87,0.0553
L000189,C00479,Hipotecario,2024-07-28,101813.44,83859.57,48,0.0882,Vigente,0,0,838.6,2308.2,18635.21,0.1239
L000190,C00015,Consumo,2025-06-24,63368.37,18381.64,180,0.2133,Cancelado,0,0,183.82,427.14,20738.52,0.0206
L000191,C00516,Tarjeta,2023-01-19,40546.34,19449.25,36,0.1044,Vigente,0,0,194.49,1243.87,18724.4,0.0664
L000192,C00191,Consumo,2025-01-25,57450.18,44072.94,24,0.2342,Vigente,0,0,440.73,2954.38,8748.39,0.3377
L000193,C01192,Consumo,2025-02-17,64789.39,17821.61,60,0.2476,Vigente,60,31-60,1782.16,1347.19,9208.39,0.1463
L000194,C00621,Consumo,2024-01-26,29901.83,29577.19,12,0.3281,Cancelado,0,0,295.77,3309.39,12991.98,0.2547
L000195,C01161,Vehicular,2023-01-01,5936.07,5640.81,60,0.3148,Vigente,0,0,56.41,130.08,12756.21,0.0102
L000196,C00154,Tarjeta,2024-12-21,10461.51,8319.34,12,0.2906,Vigente,0,0,83.19,1125.14,13512.65,0.0833
L000197,C00272,Capital de Trabajo,2023-08-17,122984.58,99153.66,12,0.2895,Vigente,0,0,991.54,13215.72,7913.33,1.6701
L000198,C00143,Tarjeta,2023-12-27,11550.97,5157.81,48,0.1133,Vigente,0,0,51.58,267.91,19610.69,0.0137
L000199,C01093,Hipotecario,2022-09-11,13974.02,9025.48,48,0.1028,Refinanciado,0,0,90.25,321.05,17716.2,0.0181
L000200,C00247,Vehicular,2024-06-29,42650.01,18013.43,24,0.2022,Vigente,0,0,180.13,2136.41,16940.23,0.1261
L000201,C00788,Tarjeta,2025-10-15,49099.56,22836.79,36,0.3225,Vigente,0,0,228.37,1803.73,7731.37,0.2333
L000202,C00079,Consumo,2024-08-30,55629.33,41121.09,36,0.2565,Vigente,0,0,411.21,1941.62,16488.05,0.1178
L000203,C00623,Consumo,2023-07-20,60990.19,45919.84,12,0.1407,Vigente,0,0,459.2,5797.63,8230.71,0.7044
L000204,C00525,Capital de Trabajo,2024-01-29,178374.7,126881.22,24,0.2117,Vigente,0,0,1268.81,9005.69,11520.0,0.7817
L000205,C00772,Capital de Trabajo,2023-01-08,68439.2,66038.89,36,0.2423,Vigente,0,0,660.39,2361.72,12727.92,0.1856
L000206,C00938,Consumo,2025-04-27,171452.37,94969.41,72,0.3217,Vigente,0,0,949.69,3147.34,16769.92,0.1877
L000207,C01119,Vehicular,2026-01-16,3771.16,2275.19,36,0.2521,Cancelado,0,0,22.75,131.16,10105.21,0.013
